index, timestamp, x, y, z, qx, qy, qz, qw
98, 1674492829.60582519, 7.71007538, -2.97635388, 0.13078448, -0.00164092, -0.01741210, -0.31823211, 0.94785149
99, 1674492829.70718789, 7.83250761, -3.01259995, 0.13292238, -0.00183661, -0.01750402, -0.32059265, 0.94705364
100, 1674492829.81820750, 7.91800547, -3.06895232, 0.14067952, -0.00197375, -0.01721132, -0.32391124, 0.94592885
101, 1674492829.93458080, 8.02036381, -3.13136530, 0.15062782, -0.00199603, -0.01629436, -0.32788993, 0.94457329
102, 1674492830.01780581, 8.11259937, -3.19149947, 0.16250722, -0.00197171, -0.01526585, -0.33349252, 0.94262708
103, 1674492830.12873983, 8.19676781, -3.26495552, 0.16577202, -0.00180874, -0.01464745, -0.33845066, 0.94086839
104, 1674492830.21229815, 8.28916931, -3.32155848, 0.15773018, -0.00186746, -0.01510463, -0.34346139, 0.93904347
105, 1674492830.33672118, 8.39059162, -3.39044499, 0.16174732, -0.00175602, -0.01522250, -0.34877649, 0.93708065
106, 1674492830.47356844, 8.46557999, -3.47699571, 0.16547303, -0.00174974, -0.01510533, -0.35387138, 0.93517047
107, 1674492830.51657844, 8.55530548, -3.53936315, 0.16227368, -0.00165270, -0.01535166, -0.35970284, 0.93293915
108, 1674492830.59882092, 8.60343075, -3.61525035, 0.17007145, -0.00160168, -0.01509799, -0.36586092, 0.93054568
109, 1674492830.71248937, 8.67671013, -3.67307830, 0.16956697, -0.00144178, -0.01531299, -0.37097680, 0.92851475
110, 1674492830.80116081, 8.79421234, -3.73625517, 0.18305857, -0.00138292, -0.01546341, -0.37803569, 0.92566084
111, 1674492830.90862370, 8.85830021, -3.82465005, 0.18490274, -0.00126581, -0.01568692, -0.38597245, 0.92237606
112, 1674492831.00898576, 8.88981056, -3.93396664, 0.20100179, -0.00138134, -0.01516026, -0.39286019, 0.91947220
113, 1674492831.22905326, 8.95034122, -4.00225925, 0.18767409, -0.00114263, -0.01559741, -0.39998593, 0.91638784
